City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Taoudenni,ML,2022-05-14 14:49:37,22.6783,-3.9836,101.68,7,10,20.0
116,Tiksi,RU,2022-05-14 14:49:38,71.6872,128.8694,6.66,97,12,5.75
117,Bambous Virieux,MU,2022-05-14 14:49:38,-20.3428,57.7575,77.25,69,40,6.91
118,Chokurdakh,RU,2022-05-14 14:49:38,70.6333,147.9167,8.46,96,99,4.85
119,Udachnyy,RU,2022-05-14 14:49:39,66.4167,112.4,32.58,93,100,3.18
120,Okha,RU,2022-05-14 14:49:39,53.5739,142.9478,32.4,99,100,27.18
121,Kuruman,ZA,2022-05-14 14:49:40,-27.4524,23.4325,70.99,18,0,7.74
122,Saskylakh,RU,2022-05-14 14:47:00,71.9167,114.0833,19.6,91,99,9.22
123,Cayenne,GF,2022-05-14 14:49:40,4.9333,-52.3333,86.04,1,75,9.22
124,Atuona,PF,2022-05-14 14:49:40,-9.8,-139.0333,79.09,70,94,21.14
125,Ilulissat,GL,2022-05-14 14:49:41,69.2167,-51.1,24.82,74,75,0.0
126,Bonavista,CA,2022-05-14 14:49:41,48.6499,-53.1147,34.27,81,100,12.55
127,Margate,GB,2022-05-14 14:49:41,51.3813,1.3862,68.11,60,2,7.31
128,Cabo San Lucas,MX,2022-05-14 14:47:58,22.8909,-109.9124,78.51,77,73,2.51
129,Deshnok,IN,2022-05-14 14:49:42,27.7986,73.3447,99.36,11,1,13.89
130,Mahanoro,MG,2022-05-14 14:49:42,-19.9,48.8,72.18,71,3,4.88
131,Mehamn,NO,2022-05-14 14:49:42,71.0357,27.8492,40.91,76,46,6.02
132,Saqqez,IR,2022-05-14 14:49:43,36.2499,46.2735,69.1,33,1,4.21
133,Khatanga,RU,2022-05-14 14:49:43,71.9667,102.5,32.9,99,100,5.41
134,Ancud,CL,2022-05-14 14:49:44,-41.8697,-73.8203,51.98,78,67,5.14
135,Srednekolymsk,RU,2022-05-14 14:50:44,67.45,153.6833,24.87,96,100,10.38
136,Outlook,CA,2022-05-14 14:50:44,51.5001,-107.0513,45.23,63,93,12.19
137,Ponta Do Sol,PT,2022-05-14 14:50:45,32.6667,-17.1,70.43,65,11,9.8
138,West Wendover,US,2022-05-14 14:50:45,40.7391,-114.0733,56.41,35,0,0.0
139,Victoria,HK,2022-05-14 14:48:44,22.2855,114.1577,77.38,91,99,11.99
140,Sabha,LY,2022-05-14 14:50:45,27.0377,14.4283,82.76,15,0,11.16
141,Teacapan,MX,2022-05-14 14:50:46,22.55,-105.75,78.64,69,100,5.57
142,Luderitz,NA,2022-05-14 14:50:46,-26.6481,15.1594,66.36,55,0,17.72
143,Leningradskiy,RU,2022-05-14 14:50:46,69.3833,178.4167,27.75,85,99,6.64
144,Mahebourg,MU,2022-05-14 14:50:47,-20.4081,57.7,77.29,69,40,6.91
145,Praia,CV,2022-05-14 14:50:47,14.9215,-23.5087,86.54,39,0,28.77
146,Ulladulla,AU,2022-05-14 14:50:47,-35.35,150.4667,64.76,79,78,5.66
147,Ostrovnoy,RU,2022-05-14 14:50:48,68.0531,39.5131,40.17,79,100,8.21
148,Kavieng,PG,2022-05-14 14:46:38,-2.5744,150.7967,81.9,73,56,10.92
149,Paliyad,IN,2022-05-14 14:50:48,22.25,71.5667,97.7,18,0,17.98
150,Carnarvon,AU,2022-05-14 14:48:25,-24.8667,113.6333,67.32,45,0,15.59
151,Basoko,CD,2022-05-14 14:50:49,1.2391,23.616,85.68,57,92,3.47
152,Vostok,RU,2022-05-14 14:50:49,46.4856,135.8833,37.4,69,73,5.64
153,Constitucion,CL,2022-05-14 14:50:49,-35.3333,-72.4167,56.89,44,100,4.92
154,Panorama,GR,2022-05-14 14:50:50,40.5878,23.0315,71.42,63,96,7.0
155,Shanting,CN,2022-05-14 14:50:50,35.0753,117.4578,57.42,36,100,3.53
156,Port Augusta,AU,2022-05-14 14:50:50,-32.5,137.7667,61.25,70,0,4.56
157,Ahipara,NZ,2022-05-14 14:50:51,-35.1667,173.1667,59.32,82,48,7.94
158,Lincoln,US,2022-05-14 14:49:28,40.8,-96.667,77.0,64,10,5.99
159,Avera,US,2022-05-14 14:50:51,33.194,-82.5271,68.05,61,1,3.2
160,Esterhazy,CA,2022-05-14 14:49:13,50.65,-102.0843,38.25,95,100,18.07
161,Touros,BR,2022-05-14 14:50:51,-5.1989,-35.4608,85.41,69,42,15.05
162,The Valley,AI,2022-05-14 14:50:52,18.217,-63.0578,84.81,69,75,19.57
163,Derzhavinsk,KZ,2022-05-14 14:50:52,51.1,66.3167,58.84,71,99,13.71
164,Marienburg,PL,2022-05-14 14:50:52,54.0359,19.0266,61.88,63,74,17.38
165,Naze,JP,2022-05-14 14:50:56,28.3667,129.4833,63.52,85,100,8.5
166,Saint-Philippe,RE,2022-05-14 14:50:56,-21.3585,55.7679,74.79,81,50,12.12
167,Deputatskiy,RU,2022-05-14 14:50:56,69.3,139.9,9.81,96,100,2.37
168,Teahupoo,PF,2022-05-14 14:50:57,-17.8333,-149.2667,69.76,66,5,14.56
169,Harlingen,US,2022-05-14 14:49:45,26.1906,-97.6961,83.89,82,0,10.36
170,Cockburn Town,TC,2022-05-14 14:50:57,21.4612,-71.1419,80.56,74,75,11.5
171,Mariental,NA,2022-05-14 14:50:57,-24.6333,17.9667,81.19,13,0,2.15
172,Kovernino,RU,2022-05-14 14:50:58,57.1253,43.8142,52.02,78,95,9.89
173,Vestmanna,FO,2022-05-14 14:50:58,62.1564,-7.1664,45.52,93,100,9.22
174,Sawtell,AU,2022-05-14 14:50:58,-30.3833,153.1,68.02,88,100,4.61
175,Vardo,NO,2022-05-14 14:50:59,70.3705,31.1107,40.98,81,33,6.91
176,Chuy,UY,2022-05-14 14:50:59,-33.6971,-53.4616,66.83,60,22,6.2
177,Waingapu,ID,2022-05-14 14:51:00,-9.6567,120.2641,80.22,81,77,5.06
178,Zhoucheng,CN,2022-05-14 14:51:00,35.9122,116.3117,57.88,31,67,3.65
179,Qaanaaq,GL,2022-05-14 14:51:00,77.484,-69.3632,18.55,68,35,3.56
180,Jabinyanah,TN,2022-05-14 14:51:01,35.035,10.9081,78.6,49,8,13.87
181,Novoaleksandrovsk,RU,2022-05-14 14:51:01,45.4948,41.2207,67.33,65,31,7.07
182,Rawlins,US,2022-05-14 14:52:01,41.7911,-107.2387,53.35,36,0,10.36
183,Tucuman,AR,2022-05-14 14:52:02,-26.8241,-65.2226,64.4,77,75,2.3
184,Grand Gaube,MU,2022-05-14 14:52:02,-20.0064,57.6608,77.4,70,6,5.01
185,Tagusao,PH,2022-05-14 14:52:02,9.1924,117.8141,81.05,83,100,4.05
186,Clyde River,CA,2022-05-14 14:52:03,70.4692,-68.5914,25.03,80,40,16.11
187,Belfast,GB,2022-05-14 14:52:03,54.5833,-5.9333,64.22,52,40,9.22
188,Shakawe,BW,2022-05-14 14:52:03,-18.3667,21.85,84.15,17,1,5.44
189,Putina,PE,2022-05-14 14:52:04,-15.4667,-69.4333,46.45,50,6,6.06
190,Rapid Valley,US,2022-05-14 14:51:21,44.0625,-103.1463,57.38,26,0,11.01
